K, accuracy, error
1, 0.202950, 0.797050
2, 0.183000, 0.817000
3, 0.200450, 0.799550
4, 0.210050, 0.789950
5, 0.212250, 0.787750
6, 0.213000, 0.787000
7, 0.231000, 0.769000
8, 0.206200, 0.793800
9, 0.218700, 0.781300
10, 0.209800, 0.790200
11, 0.214950, 0.785050
12, 0.227600, 0.772400
13, 0.222100, 0.777900
14, 0.218600, 0.781400
15, 0.223250, 0.776750
16, 0.223750, 0.776250
17, 0.213850, 0.786150
18, 0.211450, 0.788550
19, 0.203550, 0.796450
20, 0.212650, 0.787350
21, 0.202350, 0.797650
22, 0.208750, 0.791250
23, 0.202250, 0.797750
24, 0.209050, 0.790950
25, 0.204350, 0.795650
26, 0.204700, 0.795300
27, 0.205000, 0.795000
28, 0.217250, 0.782750
29, 0.204050, 0.795950
30, 0.210200, 0.789800
31, 0.219050, 0.780950
32, 0.204600, 0.795400
33, 0.208000, 0.792000
34, 0.207400, 0.792600
35, 0.204000, 0.796000
36, 0.214650, 0.785350
37, 0.204650, 0.795350
38, 0.214600, 0.785400
39, 0.211600, 0.788400
40, 0.216950, 0.783050
41, 0.207650, 0.792350
42, 0.216600, 0.783400
43, 0.201350, 0.798650
44, 0.209650, 0.790350
45, 0.210650, 0.789350
46, 0.202950, 0.797050
47, 0.201050, 0.798950
48, 0.205400, 0.794600
49, 0.213650, 0.786350
50, 0.204700, 0.795300
