K, accuracy, error
1, 0.202900, 0.797100
2, 0.181300, 0.818700
3, 0.190750, 0.809250
4, 0.207500, 0.792500
5, 0.207400, 0.792600
6, 0.210150, 0.789850
7, 0.212300, 0.787700
8, 0.208300, 0.791700
9, 0.211100, 0.788900
10, 0.214200, 0.785800
11, 0.208250, 0.791750
12, 0.210800, 0.789200
13, 0.205650, 0.794350
14, 0.209100, 0.790900
15, 0.212900, 0.787100
16, 0.210600, 0.789400
17, 0.208200, 0.791800
18, 0.207700, 0.792300
19, 0.209700, 0.790300
20, 0.201750, 0.798250
21, 0.212050, 0.787950
22, 0.208050, 0.791950
23, 0.205500, 0.794500
24, 0.202550, 0.797450
25, 0.207650, 0.792350
26, 0.206350, 0.793650
27, 0.202250, 0.797750
28, 0.202550, 0.797450
29, 0.209400, 0.790600
30, 0.200950, 0.799050
31, 0.199450, 0.800550
32, 0.207000, 0.793000
33, 0.207100, 0.792900
34, 0.204900, 0.795100
35, 0.208450, 0.791550
36, 0.201400, 0.798600
37, 0.207400, 0.792600
38, 0.203200, 0.796800
39, 0.204800, 0.795200
40, 0.204000, 0.796000
41, 0.205550, 0.794450
42, 0.203850, 0.796150
43, 0.199000, 0.801000
44, 0.198500, 0.801500
45, 0.193700, 0.806300
46, 0.205000, 0.795000
47, 0.205500, 0.794500
48, 0.198150, 0.801850
49, 0.197100, 0.802900
50, 0.198250, 0.801750
