K, accuracy, error
1, 0.204050, 0.795950
2, 0.191850, 0.808150
3, 0.188500, 0.811500
4, 0.197250, 0.802750
5, 0.205200, 0.794800
6, 0.209750, 0.790250
7, 0.209750, 0.790250
8, 0.214300, 0.785700
9, 0.212650, 0.787350
10, 0.216550, 0.783450
11, 0.218900, 0.781100
12, 0.212500, 0.787500
13, 0.206900, 0.793100
14, 0.212550, 0.787450
15, 0.209900, 0.790100
16, 0.212150, 0.787850
17, 0.214250, 0.785750
18, 0.219100, 0.780900
19, 0.208400, 0.791600
20, 0.208850, 0.791150
21, 0.208000, 0.792000
22, 0.203650, 0.796350
23, 0.209400, 0.790600
24, 0.212300, 0.787700
25, 0.204550, 0.795450
26, 0.210750, 0.789250
27, 0.212150, 0.787850
28, 0.200050, 0.799950
29, 0.202750, 0.797250
30, 0.204600, 0.795400
31, 0.211400, 0.788600
32, 0.208750, 0.791250
33, 0.213200, 0.786800
34, 0.215250, 0.784750
35, 0.209650, 0.790350
36, 0.210850, 0.789150
37, 0.201950, 0.798050
38, 0.205450, 0.794550
39, 0.209100, 0.790900
40, 0.215400, 0.784600
41, 0.205650, 0.794350
42, 0.208100, 0.791900
43, 0.205600, 0.794400
44, 0.203450, 0.796550
45, 0.208550, 0.791450
46, 0.206850, 0.793150
47, 0.204950, 0.795050
48, 0.197200, 0.802800
49, 0.209100, 0.790900
